# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
-1.000000000000000000e+00 1.559154315941468417e-38 3.112432546913623810e-02 0.000000000000000000e+00 4.996557235717773438e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.242979830173851497e-09 0.000000000000000000e+00 -1.583525645661819503e-20 -4.357627034187316895e-02 4.275507562591934613e-21 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.118308631882936833e-38
-9.999834895133972168e-01 8.492253300573793240e-08 3.112432546913623810e-02 0.000000000000000000e+00 4.996557235717773438e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.242979830173851497e-09 0.000000000000000000e+00 -1.583525645661819503e-20 -4.357627034187316895e-02 4.275507562591934613e-21 1.185477884746433119e-07 -1.155870017754967449e-11 2.113783870161256573e-10 -1.155870017754967449e-11 3.004003025063733956e-14 -1.235961592809973683e-14 2.113783870161256573e-10 -1.235961592809973683e-14 5.129724200969576486e-08
-9.999449849128723145e-01 9.371718761030933820e-07 3.082020580768585205e-02 -4.933241143589839339e-05 4.996306228637695312e+01 -2.311003336217254400e-04 8.674943074993279879e-08 2.879989042412489653e-04 7.590477935082162730e-07 -2.764383498288225383e-05 -4.481162503361701965e-02 -1.890527200885117054e-04 1.311646428803214803e-06 -4.275102494233351536e-10 2.332560367079850039e-09 -4.275102494233351536e-10 3.639976774855169239e-12 -3.734836062380814115e-13 2.332560367079850039e-09 -3.734836062380814115e-13 5.626936854241648689e-07
-9.998791217803955078e-01 4.497144800552632660e-06 3.047768399119377136e-02 -1.016260866890661418e-04 4.996001434326171875e+01 -5.097189568914473057e-04 3.971403543800988700e-07 6.256735068745911121e-04 3.651725137387984432e-06 -6.214570748852565885e-05 -4.627498239278793335e-02 -4.175058274995535612e-04 6.321825821942184120e-06 -4.561215849463451377e-09 1.118280934520043957e-08 -4.561215849463451377e-09 8.308160409642439959e-11 -2.463224502841088182e-12 1.118280934520043957e-08 -2.463224502841088182e-12 2.672380787771544419e-06
-9.997805356979370117e-01 1.470688312110723928e-05 3.047768399119377136e-02 -1.016260866890661418e-04 4.996001434326171875e+01 -5.097189568914473057e-04 3.971403543800988700e-07 6.256735068745911121e-04 3.651725137387984432e-06 -6.214570748852565885e-05 -4.627498239278793335e-02 -4.175058274995535612e-04 2.080837293760851026e-05 -2.756454264840613178e-08 3.644458956841845065e-08 -2.756454264840613178e-08 8.765465575599762360e-10 -1.287415486717069513e-12 3.644458956841845065e-08 -1.287415486717069513e-12 8.604516551713459194e-06
-9.996436834335327148e-01 3.832172660622745752e-05 2.941493503749370575e-02 -2.340353094041347504e-04 4.994720077514648438e+01 -1.523057348094880581e-03 2.873359790100948885e-06 1.771871815435588360e-03 3.135001679765991867e-05 -1.955645275302231312e-04 -5.137060582637786865e-02 -1.247975393198430538e-03 5.469815732794813812e-05 -1.193220384720916627e-07 9.412024581934019807e-08 -1.193220384720916627e-07 5.836507277479086042e-09 7.398208434761244234e-11 9.412024581934019807e-08 7.398208434761244234e-11 2.193946420447900891e-05
-9.994632601737976074e-01 8.572966908104717731e-05 2.874057181179523468e-02 -2.852372417692095041e-04 4.993330383300781250e+01 -2.315801568329334259e-03 5.704134764528134838e-06 2.588088857010006905e-03 7.040955824777483940e-05 -3.049010701943188906e-04 -5.510754510760307312e-02 -1.891594030894339085e-03 1.237429532920941710e-04 -4.137561973038828000e-07 2.066313840032307780e-07 -4.137561973038828000e-07 2.843906443672494788e-08 6.047489731209054753e-10 2.066313840032307780e-07 6.047489731209054753e-10 4.768795770360156894e-05
-9.992337822914123535e-01 1.717177656246349216e-04 2.801550179719924927e-02 -2.981970901601016521e-04 4.990689849853515625e+01 -3.339954186230897903e-03 9.910220796882640570e-06 3.552162554115056992e-03 1.414916041539981961e-04 -4.472758446354418993e-04 -5.961947515606880188e-02 -2.708761254325509071e-03 2.512552309781312943e-04 -1.222975470227538608e-06 3.996940449724206701e-07 -1.222975470227538608e-06 1.101438229511586542e-07 3.011991545065484388e-09 3.996940449724206701e-07 3.011991545065484388e-09 9.207014954881742597e-05
-9.989664554595947266e-01 3.065833006985485554e-04 2.801550179719924927e-02 -2.981970901601016521e-04 4.990689849853515625e+01 -3.339954186230897903e-03 9.910220796882640570e-06 3.552162554115056992e-03 1.414916041539981961e-04 -4.472758446354418993e-04 -5.961947515606880188e-02 -2.708761254325509071e-03 4.553480248432606459e-04 -3.048259031857014634e-06 6.753327284059196245e-07 -3.048259031857014634e-06 3.365599070548341842e-07 1.075122479932133501e-08 6.753327284059196245e-07 1.075122479932133501e-08 1.574819907546043396e-04
-9.986612200736999512e-01 5.038296221755445004e-04 2.730642072856426239e-02 -2.526975295040756464e-04 4.985831069946289062e+01 -4.548157565295696259e-03 1.524826893728459254e-05 4.575910978019237518e-03 2.531411009840667248e-04 -6.106882938183844090e-04 -6.451550126075744629e-02 -3.646400989964604378e-03 7.602740661241114140e-04 -6.711111382173839957e-06 1.023916297526739072e-06 -6.711111382173839957e-06 8.655960641590354498e-07 3.092430489459729870e-08 1.023916297526739072e-06 3.092430489459729870e-08 2.465195429977029562e-04
-9.983180761337280273e-01 7.772067910991609097e-04 2.661156468093395233e-02 -1.370014215353876352e-04 4.977090835571289062e+01 -5.933675449341535568e-03 2.172607673855964094e-05 5.619477480649948120e-03 4.164650454185903072e-04 -7.849428802728652954e-04 -6.962247192859649658e-02 -4.682003986090421677e-03 1.192057738080620766e-03 -1.341878032690146938e-05 1.413546783624042291e-06 -1.341878032690146938e-05 1.950862724697799422e-06 7.596460704917262774e-08 1.413546783624042291e-06 7.596460704917262774e-08 3.604049852583557367e-04
-9.979370832443237305e-01 1.139695523306727409e-03 2.590633183717727661e-02 5.679679816239513457e-05 4.962034225463867188e+01 -7.477779872715473175e-03 2.968221633636858314e-05 6.639464292675256729e-03 6.429982604458928108e-04 -9.558144956827163696e-04 -7.476553320884704590e-02 -5.784283392131328583e-03 1.776546123437583447e-03 -2.480169132468290627e-05 1.791382373994565569e-06 -2.480169132468290627e-05 3.958872184739448130e-06 1.648460994374545407e-07 1.791382373994565569e-06 1.648460994374545407e-07 4.988861619494855404e-04
-9.975182414054870605e-01 1.601987518370151520e-03 2.515122853219509125e-02 3.332773922011256218e-04 4.937381362915039062e+01 -9.145191870629787445e-03 3.994677172158844769e-05 7.589921820908784866e-03 9.446017793379724026e-04 -1.107159419916570187e-03 -7.978136837482452393e-02 -6.915009114891290665e-03 2.536269836127758026e-03 -4.287494084564968944e-05 2.092790737151517533e-06 -4.287494084564968944e-05 7.374439519480802119e-06 3.228535092603124212e-07 2.092790737151517533e-06 3.228535092603124212e-07 6.603306392207741737e-04
-9.970615506172180176e-01 2.170521998777985573e-03 2.336019463837146759e-02 1.134496880695223808e-03 4.842670440673828125e+01 -1.260424498468637466e-02 7.268486660905182362e-05 9.103267453610897064e-03 1.820481382310390472e-03 -1.294458052143454552e-03 -8.884382247924804688e-02 -9.096013382077217102e-03 3.486251458525657654e-03 -6.989351822994649410e-05 2.253882939839968458e-06 -6.989351822994649410e-05 1.279166644962970167e-05 5.788478460999613162e-07 2.253882939839968458e-06 5.788478460999613162e-07 8.420007070526480675e-04
-9.965670704841613770e-01 2.845412585884332657e-03 2.336019463837146759e-02 1.134496880695223808e-03 4.842670440673828125e+01 -1.260424498468637466e-02 7.268486660905182362e-05 9.103267453610897064e-03 1.820481382310390472e-03 -1.294458052143454552e-03 -8.884382247924804688e-02 -9.096013382077217102e-03 4.629481118172407150e-03 -1.080971924238838255e-04 2.217361952716601081e-06 -1.080971924238838255e-04 2.089075496769510210e-05 9.593759386916644871e-07 2.217361952716601081e-06 9.593759386916644871e-07 1.040452858433127403e-03
