# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
-9.999834895133972168e-01 3.406981647913198685e-07 3.102295100688934326e-02 -1.644413714529946446e-05 4.996473693847656250e+01 -7.703344454057514668e-05 2.891647632452531980e-08 9.599881013855338097e-05 2.530159406433085678e-07 -9.214611964125651866e-06 -4.398805275559425354e-02 -6.301757093751803041e-05 1.185477884746433119e-07 -1.155870017754967449e-11 2.113783870161256573e-10 -1.155870017754967449e-11 3.004003025063733956e-14 -1.235961592809973683e-14 2.113783870161256573e-10 -1.235961592809973683e-14 5.129724200969576486e-08
-9.997805356979370117e-01 1.917525150929577649e-05 3.012343496084213257e-02 -1.457625039620324969e-04 4.995574569702148438e+01 -8.474984206259250641e-04 1.222546870849328116e-06 1.007739570923149586e-03 1.288448856939794496e-05 -1.066186450771056116e-04 -4.797352477908134460e-02 -6.943289772607386112e-04 2.080837293760851026e-05 -2.756454264840613178e-08 3.644458956841845065e-08 -2.756454264840613178e-08 8.765465575599762360e-10 -1.287415486717069513e-12 3.644458956841845065e-08 -1.287415486717069513e-12 8.604516551713459194e-06
-9.992337822914123535e-01 1.880102354334667325e-04 2.825719118118286133e-02 -2.938771503977477551e-04 4.991569900512695312e+01 -2.998569980263710022e-03 8.508191967848688364e-06 3.230804577469825745e-03 1.177975864266045392e-04 -3.998175961896777153e-04 -5.811549723148345947e-02 -2.436372218653559685e-03 2.512552309781312943e-04 -1.222975470227538608e-06 3.996940449724206701e-07 -1.222975470227538608e-06 1.101438229511586542e-07 3.011991545065484388e-09 3.996940449724206701e-07 3.011991545065484388e-09 9.207014954881742597e-05
-9.983180761337280273e-01 8.069106261245906353e-04 2.660810388624668121e-02 -1.109673830796964467e-04 4.974985122680664062e+01 -5.986537784337997437e-03 2.221885370090603828e-05 5.611617583781480789e-03 4.375347925815731287e-04 -7.838152232579886913e-04 -6.963450461626052856e-02 -4.704229533672332764e-03 1.192057738080620766e-03 -1.341878032690146938e-05 1.413546783624042291e-06 -1.341878032690146938e-05 1.950862724697799422e-06 7.596460704917262774e-08 1.413546783624042291e-06 7.596460704917262774e-08 3.604049852583557367e-04
-9.970615506172180176e-01 2.205974189564585686e-03 2.395720593631267548e-02 8.674237760715186596e-04 4.874241256713867188e+01 -1.145122665911912918e-02 6.177216710057109594e-05 8.598819375038146973e-03 1.528521534055471420e-03 -1.232025097124278545e-03 -8.582299947738647461e-02 -8.369011804461479187e-03 3.486251458525657654e-03 -6.989351822994649410e-05 2.253882939839968458e-06 -6.989351822994649410e-05 1.279166644962970167e-05 5.788478460999613162e-07 2.253882939839968458e-06 5.788478460999613162e-07 8.420007070526480675e-04
-9.954646825790405273e-01 4.493839573115110397e-03 2.091642282903194427e-02 2.412902889773249626e-03 4.613452529907226562e+01 -1.599635370075702667e-02 1.378666784148663282e-04 9.845928288996219635e-03 3.389751538634300232e-03 -1.223435276187956333e-03 -9.639187902212142944e-02 -1.116233319044113159e-02 7.427947130054235458e-03 -2.249664248665794730e-04 1.311179630647529848e-06 -2.249664248665794730e-04 4.807094228453934193e-05 2.137253204637090676e-06 1.311179630647529848e-06 2.137253204637090676e-06 1.472873962484300137e-03
-9.935279488563537598e-01 7.259089034050703049e-03 1.824017055332660675e-02 4.335908219218254089e-03 4.023228454589843750e+01 -1.799426972866058350e-02 1.695001992629840970e-04 8.464167825877666473e-03 6.383744999766349792e-03 -1.302763121202588081e-04 -1.008533239364624023e-01 -1.270387042313814163e-02 1.225345022976398468e-02 -5.053090280853211880e-04 -3.224902684451080859e-06 -5.053090280853211880e-04 1.266858453163877130e-04 4.486309080675709993e-06 -3.224902684451080859e-06 4.486309080675709993e-06 2.160361269488930702e-03
-9.912521243095397949e-01 9.758296422660350800e-03 1.747231930494308472e-02 4.889518022537231445e-03 3.374269104003906250e+01 -1.897008903324604034e-02 -2.528237819205969572e-04 7.268039509654045105e-03 8.396242745220661163e-03 2.079402795061469078e-03 -1.024919077754020691e-01 -1.242383569478988647e-02 1.647777110338211060e-02 -8.690935210324823856e-04 -1.334838816546835005e-05 -8.690935210324823856e-04 2.624699554871767759e-04 5.889788099011639133e-06 -1.334838816546835005e-05 5.889788099011639133e-06 2.838271670043468475e-03
-9.886378645896911621e-01 1.147800404578447342e-02 1.690996252000331879e-02 4.503262694925069809e-03 2.527461433410644531e+01 -2.206865139305591583e-02 -1.215151394717395306e-03 6.899546831846237183e-03 9.274522773921489716e-03 4.506665747612714767e-03 -9.646650403738021851e-02 -1.011795829981565475e-02 1.909219287335872650e-02 -1.237411168403923512e-03 -2.841544119291938841e-05 -1.237411168403923512e-03 4.595274222083389759e-04 6.724119884893298149e-06 -2.841544119291938841e-05 6.724119884893298149e-06 3.469299757853150368e-03
-9.856861829757690430e-01 1.234873011708259583e-02 1.590321399271488190e-02 7.742455229163169861e-03 1.867783927917480469e+01 -2.624766528606414795e-02 -1.038872171193361282e-03 -1.833015703596174717e-03 6.452870089560747147e-03 3.643341129645705223e-03 -7.676795125007629395e-02 -5.253886803984642029e-03 2.001428231596946716e-02 -1.549147884361445904e-03 -5.009138112654909492e-05 -1.549147884361445904e-03 7.118124631233513355e-04 1.055194934451719746e-05 -5.009138112654909492e-05 1.055194934451719746e-05 4.020120017230510712e-03
-9.823979735374450684e-01 1.256715599447488785e-02 1.451038569211959839e-02 1.390676572918891907e-02 1.348894023895263672e+01 -2.893256582319736481e-02 3.197254554834216833e-04 -1.680204086005687714e-02 4.028053081128746271e-04 9.646678336139302701e-06 -4.601049795746803284e-02 1.897548208944499493e-03 1.969561912119388580e-02 -1.785093802027404308e-03 -6.443046004278585315e-05 -1.785093802027404308e-03 1.002856530249118805e-03 1.902859185065608472e-05 -6.443046004278585315e-05 1.902859185065608472e-05 4.464472644031047821e-03
-9.787744283676147461e-01 1.239539682865142822e-02 1.296691969037055969e-02 1.235052663832902908e-02 9.837828636169433594e+00 -2.570520341396331787e-02 6.455904076574370265e-05 -2.004410885274410248e-02 -5.073919426649808884e-03 -4.689714405685663223e-03 -7.192145567387342453e-03 8.347732014954090118e-03 1.869683712720870972e-02 -1.951202517375349998e-03 -6.103535270085558295e-05 -1.951202517375349998e-03 1.313185202889144421e-03 2.364855026826262474e-05 -6.103535270085558295e-05 2.364855026826262474e-05 4.792196210473775864e-03
-9.748167395591735840e-01 1.205174997448921204e-02 1.151875499635934830e-02 9.899190627038478851e-03 7.567415714263916016e+00 -1.722302287817001343e-02 -1.408446114510297775e-03 -1.444956380873918533e-02 -5.103636533021926880e-03 -5.525230895727872849e-03 1.110928226262331009e-02 5.441674962639808655e-03 1.745353266596794128e-02 -2.059483435004949570e-03 -5.528940164367668331e-05 -2.059483435004949570e-03 1.623843680135905743e-03 1.771864117472432554e-05 -5.528940164367668331e-05 1.771864117472432554e-05 5.031222943216562271e-03
-9.705263376235961914e-01 1.163787860423326492e-02 1.016592979431152344e-02 7.396113127470016479e-03 5.884019374847412109e+00 -7.339747622609138489e-03 -2.475316403433680534e-03 -6.502793636173009872e-03 -3.653685562312602997e-03 -3.577837953343987465e-03 1.975570060312747955e-02 -1.419498468749225140e-03 1.616928540170192719e-02 -2.135107759386301041e-03 -3.675590414786711335e-05 -2.135107759386301041e-03 1.912923413328826427e-03 1.268854884983738884e-05 -3.675590414786711335e-05 1.268854884983738884e-05 5.194455385208129883e-03
-9.659045934677124023e-01 1.121271494776010513e-02 8.755827322602272034e-03 -5.737172905355691910e-04 4.459629058837890625e+00 9.244322776794433594e-03 -4.200215917080640793e-03 8.031480945646762848e-03 -2.947757719084620476e-03 -1.264572143554687500e-03 2.574361674487590790e-02 -8.840826340019702911e-03 1.498020812869071960e-02 -2.183505799621343613e-03 -5.898447852814570069e-06 -2.183505799621343613e-03 2.160890260711312294e-03 1.167488971987040713e-05 -5.898447852814570069e-06 1.167488971987040713e-05 5.280776415020227432e-03
-9.609531164169311523e-01 1.082894206047058105e-02 7.509731221944093704e-03 -6.651192903518676758e-03 3.506441831588745117e+00 1.098734978586435318e-02 -5.958563182502985001e-03 1.537026744335889816e-02 -5.965862423181533813e-03 4.041026404593139887e-04 2.751454710960388184e-02 -8.619927801191806793e-03 1.395123079419136047e-02 -2.212700666859745979e-03 1.099267410609172657e-05 -2.212700666859745979e-03 2.367173787206411362e-03 7.062680197122972459e-06 1.099267410609172657e-05 7.062680197122972459e-06 5.334964487701654434e-03
-9.556736350059509277e-01 1.049491763114929199e-02 6.526603829115629196e-03 -9.402629919350147247e-03 2.904921531677246094e+00 8.194124326109886169e-03 -6.201231386512517929e-03 1.566238701343536377e-02 -4.023558925837278366e-03 1.452138763852417469e-03 1.953616179525852203e-02 -4.123064223676919937e-03 1.308755297213792801e-02 -2.237656619399785995e-03 1.350705679215025157e-05 -2.237656619399785995e-03 2.531653270125389099e-03 -3.073308221246406902e-07 1.350705679215025157e-05 -3.073308221246406902e-07 5.370001308619976044e-03
-9.500679373741149902e-01 1.018149498850107193e-02 5.717890802770853043e-03 -9.276350028812885284e-03 2.464603185653686523e+00 5.138718057423830032e-03 -3.749467199668288231e-03 2.400874393060803413e-03 1.256095361895859241e-03 -9.340077522210776806e-04 1.343813259154558182e-02 6.419197190552949905e-03 1.233763061463832855e-02 -2.252867212519049644e-03 1.500705820944858715e-05 -2.252867212519049644e-03 2.656660275533795357e-03 -8.068896022450644523e-06 1.500705820944858715e-05 -8.068896022450644523e-06 5.366301629692316055e-03
-9.441378712654113770e-01 9.886906482279300690e-03 5.111213307827711105e-03 -6.794273387640714645e-03 2.169938802719116211e+00 4.094942414667457342e-04 2.854306658264249563e-04 -7.231822703033685684e-03 1.511372975073754787e-03 -3.283594036474823952e-03 9.505008347332477570e-03 1.188539993017911911e-02 1.169494725763797760e-02 -2.252014121040701866e-03 1.213385257869958878e-05 -2.252014121040701866e-03 2.757171867415308952e-03 -1.286529914068523794e-05 1.213385257869958878e-05 -1.286529914068523794e-05 5.321059841662645340e-03
-9.378855228424072266e-01 9.610333479940891266e-03 4.494697321206331253e-03 -3.662598319351673126e-03 1.894014716148376465e+00 -2.833675360307097435e-03 5.013321526348590851e-03 -5.039099138230085373e-03 -6.154449656605720520e-04 3.286094215582124889e-05 -4.387725144624710083e-03 8.462403900921344757e-03 1.117775775492191315e-02 -2.252300502732396126e-03 5.455822702060686424e-06 -2.252300502732396126e-03 2.821001689881086349e-03 -1.041283121594460681e-05 5.455822702060686424e-06 -1.041283121594460681e-05 5.219759885221719742e-03
-9.313130378723144531e-01 9.365815669298171997e-03 4.029955249279737473e-03 -1.509771682322025299e-03 1.712514758110046387e+00 3.217692254111170769e-03 6.965287029743194580e-03 -1.956325257197022438e-03 -6.896841223351657391e-04 5.003798753023147583e-03 -6.345133762806653976e-03 3.240484744310379028e-03 1.077623199671506882e-02 -2.239204710349440575e-03 1.551532477606087923e-05 -2.239204710349440575e-03 2.859227126464247704e-03 -7.470864602510118857e-06 1.551532477606087923e-05 -7.470864602510118857e-06 5.091828759759664536e-03
-9.244226217269897461e-01 9.171192534267902374e-03 3.656644141301512718e-03 -4.399232566356658936e-04 1.571622014045715332e+00 1.082195714116096497e-02 6.045231595635414124e-03 -7.493594312109053135e-04 -2.255600644275546074e-03 4.789323080331087112e-03 4.226170945912599564e-03 8.555380045436322689e-04 1.044856198132038116e-02 -2.225169446319341660e-03 2.330127972527407110e-05 -2.225169446319341660e-03 2.886829664930701256e-03 -5.210600193095160648e-06 2.330127972527407110e-05 -5.210600193095160648e-06 5.004296544939279556e-03
-9.172165989875793457e-01 9.010009467601776123e-03 3.254775656387209892e-03 -7.276032119989395142e-04 1.425633311271667480e+00 1.361072342842817307e-02 1.760298735462129116e-03 -8.319604094140231609e-04 -5.427144467830657959e-03 1.420404878444969654e-03 7.488450501114130020e-04 3.168981522321701050e-03 1.017318479716777802e-02 -2.208428224548697472e-03 3.578655014280229807e-05 -2.208428224548697472e-03 2.899958752095699310e-03 -1.971143774426309392e-06 3.578655014280229807e-05 -1.971143774426309392e-06 4.947243258357048035e-03
-9.096975326538085938e-01 8.849728852510452271e-03 2.962726401165127754e-03 1.291389577090740204e-03 1.320054531097412109e+00 7.072832435369491577e-03 -4.045579116791486740e-03 -5.191404488869011402e-04 -9.150634519755840302e-03 -2.844044938683509827e-03 -4.551581572741270065e-03 1.570262946188449860e-03 9.926473721861839294e-03 -2.193328225985169411e-03 3.496524004731327295e-05 -2.193328225985169411e-03 2.899966435506939888e-03 -4.492284915613709018e-06 3.496524004731327295e-05 -4.492284915613709018e-06 4.870428703725337982e-03
-9.018679261207580566e-01 8.710027672350406647e-03 2.693769754841923714e-03 5.957886110991239548e-03 1.224718451499938965e+00 2.483696443960070610e-04 -7.091876119375228882e-03 -3.523399354889988899e-03 -1.294625271111726761e-02 -4.766101948916912079e-03 -8.348011033376678824e-05 -1.370334997773170471e-03 9.740276262164115906e-03 -2.183098578825592995e-03 2.404586848570033908e-05 -2.183098578825592995e-03 2.896465361118316650e-03 -1.344243992207339033e-05 2.404586848570033908e-05 -1.344243992207339033e-05 4.783134441822767258e-03
-8.937304019927978516e-01 8.575799874961376190e-03 2.457306487485766411e-03 1.186699047684669495e-02 1.131813645362854004e+00 2.017273800447583199e-03 -8.730518631637096405e-03 -6.094902288168668747e-03 -1.208503823727369308e-02 -2.146658021956682205e-03 -3.533235751092433929e-03 -6.005054339766502380e-03 9.582167491316795349e-03 -2.163843717426061630e-03 1.283053461520466954e-05 -2.163843717426061630e-03 2.893749158829450607e-03 -1.525576408312190324e-05 1.283053461520466954e-05 -1.525576408312190324e-05 4.675863310694694519e-03
-8.852878212928771973e-01 8.437490090727806091e-03 2.275022910907864571e-03 1.058597583323717117e-02 1.069480657577514648e+00 4.932204727083444595e-03 -1.055525243282318115e-02 -5.659908521920442581e-03 -6.945824716240167618e-03 3.131592646241188049e-03 -4.499303176999092102e-03 -6.170411128550767899e-03 9.408528916537761688e-03 -2.144266152754426003e-03 1.642883034946862608e-06 -2.144266152754426003e-03 2.891480224207043648e-03 -1.563086334499530494e-05 1.642883034946862608e-06 -1.563086334499530494e-05 4.575191065669059753e-03
